FIPSCode,StateSearched,"County, State",Total TAT-ReportLevel(Days)
48091,tx,"comal, tx","10,601.78"
20033,ks,"comanche, ks",18.13
40031,ok,"comanche, ok","8,014.77"
48093,tx,"comanche, tx",555.913
48095,tx,"concho, tx",301.627
22029,la,"concordia, la",943.817
1035,al,"conecuh, al",39.928
8021,co,"conejos, co",3.827
6013,ca,"contra costa, ca","81,148.43"
56009,wy,"converse, wy",780.816
5029,ar,"conway, ar",451.179
17031,az,"cook, az",2.802
13075,ga,"cook, ga",776.031
17031,il,"cook, il","324,610.09"
27031,mn,"cook, mn",113.198
17031,va,"cook, va",1.125
48097,tx,"cooke, tx","1,744.82"
29053,mo,"cooper, mo",85.894
33007,nh,"coos, nh",876.927
41011,or,"coos, or",398.541
1037,al,"coosa, al",48.015
28029,ms,"copiah, ms","1,132.87"
36023,ny,"cortland, ny",9.33
48099,tx,"coryell, tx","9,051.80"
39031,oh,"coshocton, oh","1,594.51"
8023,co,"costilla, co",8.107
48101,tx,"cottle, tx",48.801
40033,ok,"cotton, ok",486.068
27033,mn,"cottonwood, mn",341.142
51580,va,"covington city, va",396.466
1039,al,"covington, al",93.59
28031,ms,"covington, ms",644.368
13077,ga,"coweta, ga","11,714.48"
20035,ks,"cowley, ks","1,419.89"
53015,wa,"cowlitz, wa",778.185
40035,ok,"craig, ok",737.246
51045,va,"craig, va",255.424
5031,ar,"craighead, ar","2,419.10"
48103,tx,"crane, tx",345.058
37049,nc,"craven, nc","2,242.35"
5033,ar,"crawford, ar",786.988
13079,ga,"crawford, ga",149.668
19047,ia,"crawford, ia",451.217
17033,il,"crawford, il",390.013
18025,in,"crawford, in",349.039
20037,ks,"crawford, ks","1,118.63"
26039,mi,"crawford, mi",395.526
29055,mo,"crawford, mo",139.214
39033,oh,"crawford, oh","2,848.02"
42039,pa,"crawford, pa","2,757.87"
55023,wi,"crawford, wi",596.842
40037,ok,"creek, ok","3,298.71"
1041,al,"crenshaw, al",64.579
13081,ga,"crisp, ga",713.899
5035,ar,"crittenden, ar","1,516.04"
21055,ky,"crittenden, ky",242.79
47033,tn,"crockett, tn",798.165
48105,tx,"crockett, tx",253.761
41013,or,"crook, or",133.463
56011,wy,"crook, wy",445.651
48107,tx,"crosby, tx",207.969
5037,ar,"cross, ar",295.562
27035,mn,"crow wing, mn","1,367.15"
8025,co,"crowley, co",7.341
48109,tx,"culberson, tx",122.817
1043,al,"cullman, al",451.268
51047,va,"culpeper, va","1,689.49"
17035,il,"cumberland, il",368.248
21057,ky,"cumberland, ky",159.537
23005,me,"cumberland, me","9,675.00"
37051,nc,"cumberland, nc","14,262.05"
34011,nj,"cumberland, nj","1,755.58"
42041,pa,"cumberland, pa","21,306.00"
47035,tn,"cumberland, tn","1,421.20"
51049,va,"cumberland, va",309.031
31039,ne,"cuming, ne",328.491
37053,nc,"currituck, nc",624.048
35009,nm,"curry, nm","1,962.06"
41015,or,"curry, or",231.377
8027,co,"custer, co",24.737
16037,id,"custer, id",121.422
30017,mt,"custer, mt",369.854
31041,ne,"custer, ne",254.506
40039,ok,"custer, ok","1,234.88"
46033,sd,"custer, sd",12.018
39035,il,"cuyahoga, il",0.843
39035,oh,"cuyahoga, oh","63,361.33"
13083,ga,"dade, ga",933.184
29057,mo,"dade, mo",261.584
13083,tn,"dade, tn",4.219
49009,ut,"daggett, ut",8.372
27037,mn,"dakota, mn","25,726.45"
31043,ne,"dakota, ne",577.963
1045,al,"dale, al",386.546
48111,tx,"dallam, tx",405.185
1047,al,"dallas, al",207.38
5039,ar,"dallas, ar",108.533
19049,ia,"dallas, ia","3,944.97"
29059,mo,"dallas, mo",352.357
48113,tx,"dallas, tx","179,770.19"
55025,wi,"dane, wi","25,818.06"
30019,mt,"daniels, mt",15
51590,va,"danville city, va","3,996.82"
37055,nc,"dare, nc",836.419
39037,oh,"darke, oh","2,069.45"
45031,sc,"darlington, sc","6,861.31"
42043,pa,"dauphin, pa","24,631.07"
37057,nc,"davidson, nc","1,318.02"
47037,nc,"davidson, nc",0.018
47037,tn,"davidson, tn","96,730.46"
37059,nc,"davie, nc",469.443
18027,in,"daviess, in",572.514
